url,post_url,comment_text_clean,score,sentiment,final_account_type,polarity
https://www.tiktok.com/@cozetteslife/video/7294414865878322475,https://www.tiktok.com/@cozetteslife/video/7294414865878322475,I CAN ALREADY SEE A DIFFERENCE!!,0.6,Positive,Food & Beverage,
https://www.tiktok.com/@cozetteslife/video/7294414865878322475,https://www.tiktok.com/@cozetteslife/video/7294414865878322475,share the workout/diet routine! i want to be like uu,0.4,Positive,Food & Beverage,
https://www.tiktok.com/@cozetteslife/video/7294414865878322475,https://www.tiktok.com/@cozetteslife/video/7294414865878322475,how tall are u?,0.0,Neutral,Food & Beverage,
https://www.tiktok.com/@cozetteslife/video/7294414865878322475,https://www.tiktok.com/@cozetteslife/video/7294414865878322475,SLAY GET IT,0.5,Positive,Food & Beverage,
https://www.tiktok.com/@cozetteslife/video/7294414865878322475,https://www.tiktok.com/@cozetteslife/video/7294414865878322475,You got this girllyy !!❤️💕,0.7,Positive,Food & Beverage,
https://www.tiktok.com/@cozetteslife/video/7294414865878322475,https://www.tiktok.com/@cozetteslife/video/7294414865878322475,Oooo I see progress,0.5,Positive,Food & Beverage,
https://www.tiktok.com/@cozetteslife/video/7294414865878322475,https://www.tiktok.com/@cozetteslife/video/7294414865878322475,PERIODDDD 😻😻😻😻,0.8,Positive,Food & Beverage,
https://www.tiktok.com/@cozetteslife/video/7294414865878322475,https://www.tiktok.com/@cozetteslife/video/7294414865878322475,How?,0.0,Neutral,Food & Beverage,
https://www.tiktok.com/@cozetteslife/video/7294414865878322475,https://www.tiktok.com/@cozetteslife/video/7294414865878322475,AAAAA U GOT THIS <33,0.6,Positive,Food & Beverage,
https://www.tiktok.com/@cozetteslife/video/7294414865878322475,https://www.tiktok.com/@cozetteslife/video/7294414865878322475,Keep it up !,0.4,Positive,Food & Beverage,
https://www.tiktok.com/@cozetteslife/video/7294414865878322475,https://www.tiktok.com/@cozetteslife/video/7294414865878322475,Imma do this! Congrats!,0.5,Positive,Food & Beverage,
https://www.tiktok.com/@cozetteslife/video/7294414865878322475,https://www.tiktok.com/@cozetteslife/video/7294414865878322475,😋😋😋,0.3,Positive,Food & Beverage,
https://www.tiktok.com/@cozetteslife/video/7294414865878322475,https://www.tiktok.com/@cozetteslife/video/7294414865878322475,😂😂😂,0.3,Positive,Food & Beverage,
https://www.tiktok.com/@cozetteslife/video/7294414865878322475,https://www.tiktok.com/@cozetteslife/video/7294414865878322475,😌😌😌,0.2,Neutral,Food & Beverage,
https://www.tiktok.com/@cozetteslife/video/7294414865878322475,https://www.tiktok.com/@cozetteslife/video/7294414865878322475,🥺🥺🥺,0.4,Positive,Food & Beverage,
https://www.tiktok.com/@cozetteslife/video/7294414865878322475,https://www.tiktok.com/@cozetteslife/video/7294414865878322475,🥰🥰🥰,0.6,Positive,Food & Beverage,
